,Group 1,,,,,Group 2,,,,
ADAM32,1184,1113,1097,1072,1107,5939,5673,5739,5750,5776
SERPINB4,66,61,60,62,60,7495,7044,7312,7430,7297
SOX9,76,68,74,70,69,5280,4932,5156,5134,5244
INPP5B,8375,8260,7845,8252,8174,659,617,627,598,650
Sall4,485,483,484,457,439,5540,5446,5371,5208,5284
Nanog,283,278,281,264,273,1582,1488,1542,1523,1554
KLRK1,9881,9069,9337,9271,9724,172,157,159,155,170
DDR1,9967,9112,9732,9843,9491,959,884,905,887,943
DPF3,7048,6631,6557,6702,6473,1231,1172,1119,1165,1174
GPR19,514,472,489,474,506,9906,8955,9493,9803,9390
SPATA17,6499,6435,6225,6385,6113,2502,2451,2471,2488,2406
MSANTD3,1516,1497,1445,1418,1491,6913,6825,6862,6692,6369
CCL5,272,271,254,264,256,6674,6430,6046,6512,6154
Esrrb,0,0,0,0,0,17,16,15,16,16
PCDHB14,5561,5309,5410,5084,5034,427,417,423,386,404
MYF6,1483,1371,1430,1360,1440,5676,5390,5240,5305,5600
PAX8,2053,1881,2002,2041,1859,6728,6192,6375,6550,6636
KRT78,1115,1008,1010,1091,1012,9850,8925,9748,8942,9043
Utf1,235,233,224,222,219,853,823,777,834,774
PXK,1267,1236,1159,1255,1227,4713,4691,4595,4262,4376
PTPN21,2425,2222,2212,2266,2218,5199,4961,4828,5041,5155
THRA,9675,9431,9243,9032,9286,5465,4990,5253,4956,5018
ATP6V1E2,7074,6678,6923,6636,6943,4107,3922,4030,3707,3701
DSTYK,3805,3453,3668,3491,3745,6492,6461,6050,6430,6252
CYP2E1,0,0,0,0,0,100,90,86,82,80
HCRTR1,5550,5040,5441,5317,5505,8586,8285,8214,8152,8250
MAPK1,4270,3973,3903,4251,4091,6904,6668,6443,6551,6833
HSPA6,4500,4462,4073,4252,4323,8007,7535,7795,7649,7222
SLC39A5,8554,7833,8427,8342,8006,5111,4767,4620,4826,4942
KCNJ2,3893,3595,3653,3863,3633,7283,7112,6632,6580,6938
Zfp42,4367,3941,4067,4354,3960,8352,7589,8189,7616,8297
C17ORF63,0,0,0,0,0,87,80,75,64,84
CD28,3067,2870,3019,2976,3005,2218,1999,2189,2057,2193
TILL12,4378,4037,4247,3992,4173,5659,5290,5290,5151,5504
VPS18,6166,5732,6036,5620,5770,4816,4432,4550,4680,4344
PPP2R5C,6832,6564,6255,6470,6602,5739,5284,5470,5566,5495
NME4,9372,8920,9332,8850,8695,8005,7700,7547,7609,7439
LSM2,548,503,519,538,518,664,618,601,639,604
UBA7,8151,8028,7400,7568,7971,9937,9001,9088,9689,9148
PRR22,6942,6545,6785,6638,6514,6311,6165,5833,5721,6078
TIMD4,7435,6709,7399,7391,7380,7945,7483,7565,7759,7718
Ezh2,38717,37464,37720,37551,37037,37897,35266,36722,34198,34470
SKIV2L,1556,1499,1549,1547,1549,1667,1540,5326,5193,5235
MAT2B,8370,7621,7562,8358,8208,8997,8814,8236,8951,8219
TMEM192,0,0,0,0,0,143,142,0,0,0
SCARB1,3989,3789,3930,3632,3760,3778,3744,3691,3720,3688
RFC2,8419,8309,8038,8035,7797,8280,7458,8273,7677,7764
SLC25A45,5467,5396,5424,4977,5430,5122,5108,5161,5570,5158
AL929472,6854,6333,6480,6265,6206,6531,6499,6420,6250,5957
ZNF408,4798,4795,4352,4649,4532,4883,4699,4423,4845,4607
Dppa2,0,0,0,0,0,0,0,0,0,0
