,,,,,
ADAM32,1184,1113,1097,1072,1107
SERPINB4,66,61,60,62,60
SOX9,76,68,74,70,69
INPP5B,8375,8260,7845,8252,8174
Sall4,485,483,484,457,439
Nanog,283,278,281,264,273
KLRK1,9881,9069,9337,9271,9724
DDR1,9967,9112,9732,9843,9491
DPF3,7048,6631,6557,6702,6473
GPR19,514,472,489,474,506
SPATA17,6499,6435,6225,6385,6113
MSANTD3,1516,1497,1445,1418,1491
CCL5,272,271,254,264,256
Esrrb,0,0,0,0,0
PCDHB14,5561,5309,5410,5084,5034
MYF6,1483,1371,1430,1360,1440
PAX8,2053,1881,2002,2041,1859
KRT78,1115,1008,1010,1091,1012
Utf1,235,233,224,222,219
PXK,1267,1236,1159,1255,1227
PTPN21,2425,2222,2212,2266,2218
THRA,9675,9431,9243,9032,9286
ATP6V1E2,7074,6678,6923,6636,6943
DSTYK,3805,3453,3668,3491,3745
CYP2E1,0,0,0,0,0
HCRTR1,5550,5040,5441,5317,5505
MAPK1,4270,3973,3903,4251,4091
HSPA6,4500,4462,4073,4252,4323
SLC39A5,8554,7833,8427,8342,8006
KCNJ2,3893,3595,3653,3863,3633
Zfp42,4367,3941,4067,4354,3960
C17ORF63,0,0,0,0,0
CD28,3067,2870,3019,2976,3005
TILL12,4378,4037,4247,3992,4173
VPS18,6166,5732,6036,5620,5770
PPP2R5C,6832,6564,6255,6470,6602
NME4,9372,8920,9332,8850,8695
LSM2,548,503,519,538,518
UBA7,8151,8028,7400,7568,7971
PRR22,6942,6545,6785,6638,6514
TIMD4,7435,6709,7399,7391,7380
Ezh2,38717,37464,37720,37551,37037
SKIV2L,1556,1499,1549,1547,1549
MAT2B,8370,7621,7562,8358,8208
TMEM192,0,0,0,0,0
SCARB1,3989,3789,3930,3632,3760
RFC2,8419,8309,8038,8035,7797
SLC25A45,5467,5396,5424,4977,5430
AL929472,6854,6333,6480,6265,6206
ZNF408,4798,4795,4352,4649,4532
Dppa2,0,0,0,0,0
